sRNA,sRNA_Peak,L_Coord,R_Coord,LastSNR
MicL,MicL_1,1958480,1958540,peak_0.5snr
MicL,MicL_2,1958645,1958705,peak_1.5snr
MicLdiff,MicLdiff_1,1958480,1958540,peak_0.5snr
MicLdiff,MicLdiff_2,1958645,1958705,peak_1.5snr
MicLdiff,MicLdiff_3,1958855,1958915,peak_5.5snr
IsrB,IsrB_1,1987885,1987945,peak_2.0snr
IsrB,IsrB_2,1988025,1988085,peak_2.5snr
IsrB,IsrB_3,1988260,1988295,peak_0.5snr
3ETSleuZ,3ETSleuZ_1,1991775,1991835,peak_6.0snr
sdsN,sdsN_1,1996645,1996705,peak_0.5snr
sdsN,sdsN_2,1996880,1996940,peak_4.0snr
sdsN,sdsN_3,1997030,1997130,peak_0.5snr
dsrA,dsrA_1,2025165,2025225,peak_1.0snr
dsrA,dsrA_2,2025345,2025405,peak_1.5snr
dsrA,dsrA_3,2025505,2025565,peak_0.25snr
rseX,rseX_1,2033290,2033350,peak_0.5snr
rseX,rseX_2,2033485,2033545,peak_1.5snr
rseX,rseX_3,2033600,2033660,peak_4.0snr
isrC,isrC_1,2070915,2071030,peak_0.0snr
isrC,isrC_2,2071085,2071145,peak_0.0snr
isrC,isrC_3,2071310,2071370,peak_15.0snr
isrC,isrC_4,2071570,2071610,peak_0.25snr
sibA,sibA_1,2153000,2153060,peak_0.5snr
sibA,sibA_2,2153130,2153190,peak_1.0snr
sibA,sibA_3,2153205,2153325,peak_0.5snr
sibA,sibA_4,2153445,2153505,peak_3.5snr
sibB,sibB_1,2153445,2153505,peak_3.5snr
sibB,sibB_2,2153565,2153625,peak_3.0snr
sibB,sibB_3,2153835,2153875,peak_1.0snr
cyaR,cyaR_1,2166875,2166935,peak_0.5snr
cyaR,cyaR_2,2166980,2167040,peak_0.25snr
cyaR,cyaR_3,2167195,2167255,peak_1.0snr
micF,micF_1,2312725,2312785,peak_5.0snr
micF,micF_2,2312970,2313030,peak_6.0snr
micF,micF_3,2313190,2313250,peak_3.0snr
ryeG,ryeG_1,2470400,2470460,peak_6.0snr
ryeG,ryeG_2,2470670,2470730,peak_6.0snr
ryeG,ryeG_3,2470805,2470865,peak_1.5snr
ryeG,ryeG_4,2470925,2470965,peak_2.0snr
Tpke70,Tpke70_1,2496425,2496485,peak_0.5snr
Tpke70,Tpke70_2,2496610,2496670,peak_2.0snr
Tpke70,Tpke70_3,2496885,2496925,peak_1.0snr
SroE,SroE_1,2640550,2640610,peak_6.0snr
SroE,SroE_2,2640765,2640825,peak_0.5snr
SroE,SroE_3,2640880,2640940,peak_0.5snr
ryfA,ryfA_1,2653580,2653640,peak_3.5snr
ryfA,ryfA_2,2653810,2653870,peak_2.0snr
ryfA,ryfA_3,2654005,2654065,peak_3.0snr
ryfA,ryfA_4,2654120,2654180,peak_3.0snr
ryfA,ryfA_5,2654225,2654255,peak_7.0snr
glmY,glmY_1,2691080,2691140,peak_1.0snr
glmY,glmY_2,2691315,2691375,peak_2.5snr
glmY,glmY_3,2691455,2691515,peak_2.0snr
glmY,glmY_4,2691615,2691640,peak_0.5snr
RyfB,RyfB_1,2699995,2700055,peak_7.0snr
RyfB,RyfB_2,2700105,2700165,peak_4.5snr
RyfB,RyfB_3,2700370,2700430,peak_3.0snr
RyfB,RyfB_4,2700585,2700645,peak_2.0snr
ohsC,ohsC_1,2700370,2700430,peak_3.0snr
ohsC,ohsC_2,2700585,2700645,peak_2.0snr
ryfD,ryfD_1,2734275,2734335,peak_0.5snr
ryfD,ryfD_2,2734440,2734500,peak_1.0snr
ssrA,ssrA_1,2755270,2755330,peak_1.0snr
ssrA,ssrA_2,2755435,2755495,peak_3.0snr
ssrA,ssrA_3,2755615,2755675,peak_1.0snr
ssrA,ssrA_4,2755915,2755975,peak_40.0snr
micA,micA_1,2814495,2814555,peak_1.5snr
micA,micA_2,2814640,2814700,peak_0.5snr
micA,micA_3,2814750,2814810,peak_0.5snr
micA,micA_4,2814885,2814945,peak_0.0snr
sokX,sokX_1,2887105,2887165,peak_4.0snr
sokX,sokX_2,2887225,2887285,peak_3.0snr
sokX,sokX_3,2887410,2887470,peak_1.5snr
sokX,sokX_4,2887480,2887505,peak_0.0snr
csrB,csrB_1,2924120,2924180,peak_0.25snr
csrB,csrB_2,2924355,2924415,peak_0.25snr
csrB,csrB_3,2924535,2924595,peak_1.5snr
csrB,csrB_4,2924690,2924750,peak_3.5snr
gcvB,gcvB_1,2942575,2942635,peak_4.5snr
gcvB,gcvB_2,2942825,2942885,peak_0.5snr
gcvB,gcvB_3,2942965,2943000,peak_1.0snr
omrA,omrA_1,2976030,2976090,peak_0.25snr
omrA,omrA_2,2976240,2976300,peak_0.5snr
omrA,omrA_3,2976450,2976485,peak_1.0snr
omrB,omrB_1,2976240,2976300,peak_0.5snr
omrB,omrB_2,2976450,2976510,peak_1.0snr
omrB,omrB_3,2976570,2976630,peak_1.5snr
ssrS,ssrS_1,3055695,3055755,peak_2.0snr
ssrS,ssrS_2,3055830,3055890,peak_0.0snr
ssrS,ssrS_3,3055980,3056040,peak_0.25snr
ssrS,ssrS_4,3056180,3056240,peak_0.25snr
sibC,sibC_1,3056485,3056545,peak_0.25snr
sibC,sibC_2,3056775,3056835,peak_4.5snr
sibC,sibC_3,3056945,3057005,peak_0.5snr
och5,och5_1,3066830,3066890,peak_2.5snr
och5,och5_2,3066965,3067025,peak_4.5snr
och5,och5_3,3067110,3067170,peak_5.5snr
och5,och5_4,3067285,3067345,peak_0.0snr
SroG,SroG_1,3184740,3184800,peak_1.0snr
SroG,SroG_2,3184875,3184935,peak_1.0snr
sibD,sibD_1,3194840,3194900,peak_1.0snr
sibD,sibD_2,3194975,3195035,peak_0.5snr
sibE,sibE_1,3195260,3195320,peak_3.0snr
sibE,sibE_2,3195420,3195480,peak_0.5snr
PsrN,PsrN_1,3238025,3238085,peak_0.25snr
PsrN,PsrN_2,3238110,3238170,peak_0.5snr
PsrN,PsrN_3,3238310,3238370,peak_2.5snr
PsrN,PsrN_4,3238610,3238660,peak_0.5snr
rnpB,rnpB_1,3270170,3270230,peak_2.0snr
rnpB,rnpB_2,3270405,3270465,peak_1.5snr
rnpB,rnpB_3,3270605,3270665,peak_1.0snr
rnpB,rnpB_4,3270725,3270785,peak_0.5snr
rnpB,rnpB_5,3270840,3270890,peak_0.5snr
psrO,psrO_1,3310990,3311050,peak_0.5snr
psrO,psrO_2,3311155,3311215,peak_0.25snr
psrO,psrO_3,3311270,3311330,peak_0.25snr
arcZ,arcZ_1,3350285,3350345,peak_4.0snr
arcZ,arcZ_2,3350605,3350665,peak_0.25snr
ryhB,ryhB_1,3580860,3580920,peak_0.25snr
ryhB,ryhB_2,3580975,3581035,peak_0.25snr
ryhB,ryhB_3,3581085,3581145,peak_2.0snr
ryhB,ryhB_4,3581275,3581315,peak_0.25snr
agrA,agrA_1,3647750,3647810,peak_0.5snr
agrA,agrA_2,3647975,3648035,peak_1.0snr
agrA,agrA_3,3648175,3648235,peak_1.0snr
agrB,agrB_1,3647975,3648035,peak_1.0snr
agrB,agrB_2,3648175,3648235,peak_1.0snr
agrB,agrB_3,3648435,3648475,peak_3.5snr
arrS,arrS_1,3657890,3657950,peak_3.5snr
arrS,arrS_2,3658175,3658235,peak_4.0snr
arrS,arrS_3,3658295,3658350,peak_2.0snr
gadF,gadF_1,3658665,3658725,peak_2.0snr
gadF,gadF_2,3658955,3659015,peak_1.5snr
gadY,gadY_1,3664520,3664580,peak_7.0snr
gadY,gadY_2,3664735,3664795,peak_0.5snr
gadY,gadY_3,3664855,3664915,peak_0.25snr
gadY,gadY_4,3664965,3665025,peak_1.0snr
rdlD,rdlD_1,3699805,3699865,peak_0.25snr
rdlD,rdlD_2,3700050,3700110,peak_1.0snr
rdlD,rdlD_3,3700190,3700250,peak_0.0snr
rirA,rirA_1,3808280,3808340,peak_6.0snr
rirA,rirA_2,3808485,3808535,peak_0.5snr
istR,istR_1,3853025,3853085,peak_0.25snr
istR,istR_2,3853170,3853230,peak_1.5snr
istR,istR_3,3853330,3853390,peak_2.0snr
glmZ,glmZ_1,3986090,3986150,peak_4.0snr
glmZ,glmZ_2,3986210,3986270,peak_8.0snr
glmZ,glmZ_3,3986355,3986415,peak_1.5snr
glmZ,glmZ_4,3986550,3986610,peak_0.5snr
glmZ,glmZ_5,3986695,3986735,peak_1.0snr
esrE,esrE_1,4019815,4019875,peak_0.5snr
esrE,esrE_2,4019985,4020045,peak_0.5snr
esrE,esrE_3,4020070,4020130,peak_0.5snr
spf,spf_1,4049585,4049645,peak_2.5snr
spf,spf_2,4049740,4049800,peak_0.25snr
spf,spf_3,4049850,4049910,peak_1.0snr
spf,spf_4,4050050,4050105,peak_12.0snr
csrC,csrC_1,4050700,4050760,peak_0.0snr
csrC,csrC_2,4050955,4051015,peak_6.0snr
csrC,csrC_3,4051065,4051125,peak_1.0snr
csrC,csrC_4,4051220,4051280,peak_0.0snr
csrC,csrC_5,4051340,4051380,peak_0.25snr
cpxQ,cpxQ_1,4106005,4106065,peak_0.25snr
cpxQ,cpxQ_2,4106145,4106205,peak_0.25snr
cpxQ,cpxQ_3,4106415,4106475,peak_3.5snr
oxyS,oxyS_1,4158195,4158255,peak_1.0snr
oxyS,oxyS_2,4158315,4158375,peak_0.25snr
oxyS,oxyS_3,4158465,4158525,peak_0.5snr
oxyS,oxyS_4,4158635,4158690,peak_0.25snr
sroH,sroH_1,4190270,4190330,peak_7.0snr
sroH,sroH_2,4190455,4190515,peak_1.5snr
sroH,sroH_3,4190635,4190695,peak_7.0snr
pspH,pspH_1,4262905,4262965,peak_0.5snr
pspH,pspH_2,4263020,4263080,peak_12.0snr
pspH,pspH_3,4263335,4263350,peak_0.5snr
ryjA,ryjA_1,4277840,4277900,peak_0.0snr
ryjA,ryjA_2,4278020,4278080,peak_0.5snr
ryjA,ryjA_3,4278190,4278250,peak_0.5snr
ryjB,ryjB_1,4527835,4527895,peak_0.5snr
ryjB,ryjB_2,4527955,4528015,peak_0.5snr
ryjB,ryjB_3,4528095,4528155,peak_0.5snr
symR,symR_1,4579500,4579560,peak_0.5snr
symR,symR_2,4579630,4579690,peak_0.25snr
symR,symR_3,4579825,4579885,peak_3.5snr
symR,symR_4,4579950,4580010,peak_1.0snr
