UTR Name,Direction,Left Coord,Right Coord
yadM,R,152713,153012
htrE,R,155327,155626
yadV,R,156102,156401
yadN,R,156784,157083
folK,R,157633,157932
pcnB,R,159027,159326
gluQ,R,160013,160312
dksA,R,160505,160804
sfsA,R,161387,161686
ligT,R,161932,162231
hrpB,F,161905,162204
mrcB,F,164530,164829
fhuA,F,167284,167583
fhuC,F,169578,169877
fhuD,F,170375,170674
fhuB,F,171262,171561
hemL,R,174783,175082
clcA,F,174907,175206
erpA,F,176410,176709
yadS,R,177525,177824
btuF,R,178363,178662
mtn,R,179054,179353
dgt,F,179037,179336
degP,F,180684,180983
cdaR,F,182263,182562
yaeH,R,183996,184295
yaeI,R,184970,185269
dapD,R,185848,186147
glnD,R,188551,188850
map,R,189407,189706
rpsB,F,189674,189973
tsf,F,190657,190956
pyrH,F,191655,191954
frr,F,192672,192971
dxr,F,193321,193620
ispU,F,194703,195002
cdsA,F,195477,195776
rseP,F,196346,196645
bamA,F,197728,198027
skp,F,200282,200581
lpxD,F,200771,201070
fabZ,F,201901,202200
lpxA,F,202360,202659
lpxB,F,203148,203447
rnhB,F,204293,204592
dnaE,F,204926,205225
accA,F,208421,208720
ldcC,F,209479,209778
yaeR,F,211677,211976
tilS,F,212131,212430
rof,R,213833,214132
yaeP,R,214026,214325
yaeQ,F,214091,214390
arfB,F,214633,214932
nlpE,F,215069,215368
yaeF,R,216904,217203
proS,R,218676,218975
tsaA,R,219495,219794
rcsF,R,219896,220195
metQ,R,220829,221128
metI,R,221522,221821
metN,R,222546,222845
gmhB,F,222633,222932
dkgB,F,228967,229266
yafC,R,230782,231081
yafD,F,230922,231221
yafE,F,231726,232025
mltD,R,233856,234155
gloB,R,234683,234982
yafS,F,234616,234915
rnhA,R,235903,236202
dnaQ,F,235867,236166
yafT,F,237135,237434
ykfM,R,238637,238936
yafU,R,239003,239302
yafF,F,238906,239205
yafV,R,240090,240389
ivy,F,240143,240442
fadE,R,243204,243503
gmhA,F,243343,243642
yafJ,F,244127,244426
yafK,R,245706,246005
yafQ,R,246140,246439
dinJ,R,246403,246702
yafL,F,246512,246811
rayT,F,247437,247736
lfhA,R,249971,250270
lafU,F,249872,250171
dinB,F,250698,250997
yafN,F,251805,252104
yafO,F,252101,252400
yafP,F,252509,252808
ykfJ,F,253279,253578
prfH,F,253502,253801
pepD,R,255617,255916
gpt,F,255777,256076
frsA,F,256327,256626
phoE,R,260001,260300
proB,F,260188,260487
proA,F,261303,261602
ykfN,R,263113,263412
ykfI,R,263570,263869
yafW,R,263908,264207
ykfH,R,264148,264447
ykfG,R,264633,264932
yafX,R,265107,265406
ykfF,R,265444,265743
ykfB,R,265988,266287
yafY,R,266454,266753
ykfL,R,266675,266974
ykfK,R,266868,267167
yafZ,R,267906,268205
ykfA,R,268861,269160
perR,R,270083,270382
insI1,F,270403,270702
ykfC,F,272647,272946
insH1,R,275018,275317
mmuP,F,275125,275424
mmuM,F,276515,276814
afuC,R,278703,279002
afuB,R,279062,279361
insB1,R,279582,279881
b0265,R,279776,280075
insI1,F,279731,280030
insX,R,280263,280562
yagB,R,280636,280935
yagA,R,281884,282183
yagE,F,282078,282377
yagF,F,283001,283300
yagG,F,285195,285494
yagH,F,286589,286888
yagI,R,289063,289362
argF,R,290206,290505
ykgS,F,290229,290528
insB1,R,291053,291352
b0275,R,291247,291546
yagJ,F,291204,291503
yagK,R,292849,293148
yagL,R,293819,294118
yagM,R,294700,294999
yagN,R,295480,295779
intF,R,296997,297296
yagP,R,297620,297919
ykgT,R,297692,297991
paoD,R,298627,298926
paoC,R,300835,301134
paoB,R,301788,302087
paoA,R,302474,302773
yagU,F,302791,303090
ykgJ,R,304083,304382
ecpE,R,305106,305405
ecpD,R,306718,307017
ecpC,R,309233,309532
ecpB,R,309927,310226
ecpA,R,310572,310871
ecpR,R,311237,311536
ykgL,F,311912,312211
ykgO,R,312415,312714
ykgM,R,312678,312977
ykgR,R,313143,313442
ykgP,R,313706,314005
eaeH,F,314157,314456
insE1,F,315091,315390
insF1,F,315387,315686
ykgA,R,317070,317369
ykgQ,F,317239,317538
rclC,R,318220,318519
rclB,R,318468,318767
rclA,R,319902,320201
rclR,F,320027,320326
ykgE,F,321408,321707
ykgF,F,322138,322437
ykgG,F,323558,323857
ykgH,R,325265,325564
betA,R,327148,327447
betB,R,328634,328933
betI,R,329235,329534
betT,F,329263,329562
yahA,F,332171,332470
yahB,R,334334,334633
yahC,R,334923,335222
yahD,F,335080,335379
yahE,F,335725,336024
yahF,F,336578,336877
yahG,F,338125,338424
yahI,F,339965,340264
yahJ,F,340925,341224
yahK,F,342684,342983
yahL,F,343976,344275
yahM,F,345204,345503
yahN,R,346238,346537
yahO,F,346284,346583
prpR,R,348344,348643
prpB,F,348482,348781
prpC,F,349812,350111
prpD,F,351015,351314
prpE,F,352506,352805
codB,F,354722,355021
codA,F,355971,356270
cynR,R,358591,358890
cynT,F,358599,358898
cynS,F,359289,359588
cynX,F,359792,360091
lacA,R,361761,362060
lacY,R,363080,363379
lacZ,R,366206,366505
lacI,R,367411,367710
mhpR,R,368321,368620
mhpA,F,368411,368710
mhpB,F,370077,370376
mhpC,F,371039,371338
mhpD,F,371915,372214
mhpF,F,372721,373020
mhpE,F,373668,373967
mhpT,F,375259,375558
yaiL,F,376572,376871
frmB,R,378269,378568
frmA,R,379472,379771
frmR,R,379782,380081
yaiO,R,380743,381042
insC1,F,381151,381450
insD1,F,381474,381773
yaiP,R,383836,384135
yaiS,R,384517,384816
tauA,F,385032,385331
tauB,F,386007,386306
tauC,F,386771,387070
tauD,F,387595,387894
hemB,R,389628,389927
insF1,F,391539,391838
insE1,F,392402,392701
yaiV,F,394306,394605
ampH,R,396188,396487
sbmA,F,396439,396738
yaiW,F,397672,397971
yaiY,R,399234,399533
yaiZ,F,399393,399692
ddlA,R,400824,401123
iraP,F,401186,401485
phoA,F,401547,401846
psiF,F,403081,403380
yaiC,F,403503,403802
proC,R,405545,405844
yaiI,F,405564,405863
aroL,F,406205,406504
yaiA,F,406779,407078
aroM,F,407228,407527
yaiE,F,407977,408276
ykiA,F,408409,408708
rdgC,R,409920,410219
mak,F,409944,410243
araJ,R,412382,412681
sbcC,R,415654,415953
sbcD,R,416853,417152
phoB,F,416942,417241
phoR,F,417689,417988
brnQ,F,419391,419690
proY,F,420786,421085
malZ,F,422318,422617
acpH,R,424819,425118
queA,F,424811,425110
tgt,F,425937,426236
yajC,F,427087,427386
secD,F,427447,427746
secF,F,429305,429604
yajD,F,430405,430704
tsx,R,431914,432213
yajI,R,432752,433051
nrdR,F,432802,433101
ribD,F,433255,433554
ribE,F,434447,434746
nusB,F,434937,435236
thiL,F,435434,435733
pgpA,F,436389,436688
yajO,R,438036,438335
dxs,R,440078,440377
ispA,R,441002,441301
xseB,R,441244,441543
thiI,F,441349,441648
yajL,R,443542,443841
panE,R,444416,444715
yajQ,F,444483,444782
yajR,R,446567,446866
cyoE,R,447606,447905
cyoD,R,447947,448246
cyoC,R,448561,448860
cyoB,R,450542,450841
cyoA,R,451511,451810
ampG,R,453446,453745
yajG,R,454068,454367
bolA,F,454272,454571
tig,F,454933,455232
clpP,F,456477,456776
clpX,F,457226,457525
lon,F,458688,458987
hupB,F,461251,461550
ppiD,F,461715,462014
ybaV,F,463737,464036
fadM,F,464202,464501
queC,R,465448,465747
ybaE,R,467213,467512
cof,F,467212,467511
ybaO,F,468183,468482
mdlA,F,468671,468970
mdlB,F,470436,470735
glnK,F,472398,472697
amtB,F,472766,473065
tesB,R,475062,475361
ybaY,F,475179,475478
ybaZ,R,476272,476571
ybaA,F,476472,476771
ylaB,R,478518,478817
ylaC,R,479152,479451
maa,R,479819,480118
hha,R,480209,480508
tomB,R,480609,480908
acrB,R,484304,484603
acrA,R,485520,485819
acrR,F,485561,485860
mscK,F,486336,486635
ybaM,R,490172,490471
priC,R,490713,491012
ybaN,F,490682,490981
apt,F,491212,491511
dnaX,F,491892,492191
ybaB,F,493876,494175
recR,F,494205,494504
htpG,F,494920,495219
adk,F,496975,497274
hemH,F,497855,498154
aes,R,499874,500173
gsk,F,499925,500224
ybaL,R,503139,503438
fsr,R,504597,504896
ushA,F,504714,505013
ybaK,R,506983,507282
ybaP,R,507981,508280
ybaQ,F,508018,508317
copA,R,511280,511579
glsA,F,511441,511740
ybaT,F,512376,512675
cueR,F,513793,514092
ybbJ,R,514760,515059
qmcA,R,515674,515973
fetA,F,515719,516018
fetB,F,516383,516682
ybbN,R,518180,518479
ybbO,R,519050,519349
tesA,R,519666,519965
ybbA,F,519533,519832
ybbP,F,520216,520515
rhsD,F,523061,523360
ybbC,F,527381,527680
rhsH,F,527752,528051
ybbD,F,528440,528739
ylbI,F,529300,529599
ylbG,R,529917,530216
mnmH,R,531127,531426
allS,R,532122,532421
allA,F,532251,532550
allR,F,532811,533110
gcl,F,533716,534015
hyi,F,535510,535809
glxR,F,536386,536685
ybbW,F,537433,537732
allB,F,538947,539246
ybbY,F,540365,540664
glxK,F,541688,541987
allE,R,543947,544246
allC,R,545193,545492
allD,R,546264,546563
fdrA,F,546480,546779
ylbE,F,548157,548456
ylbF,F,549427,549726
ybcF,F,550239,550538
purK,R,552495,552794
purE,R,553001,553300
lpxH,R,553841,554140
ppiB,R,554338,554637
cysS,F,554411,554710
ybcI,R,556454,556753
ybcJ,R,556774,557073
folD,R,557642,557941
sfmA,F,558012,558311
sfmC,F,558774,559073
sfmD,F,559497,559796
sfmH,F,562136,562435
sfmF,F,563130,563429
sfmZ,R,564381,564680
intD,R,565879,566178
xisD,R,565980,566279
exoD,R,566277,566576
peaD,F,566176,566475
insE1,F,566642,566941
insF1,F,566938,567237
emrE,F,568115,568414
ybcK,F,568702,569001
ybcL,F,570693,570992
ybcM,F,571254,571553
ylcH,F,572168,572467
ybcN,F,572266,572565
ninE,F,572721,573020
ybcO,F,572884,573183
rusA,F,573171,573470
ylcG,F,573530,573829
quuD,F,573756,574055
insH1,R,575654,575953
essD,F,577198,577497
rrrD,F,577413,577712
rzpD,F,577907,578206
rzoD,F,578127,578426
borD,R,578794,579093
ybcV,R,579495,579794
ybcW,F,579680,579979
ylcI,R,580346,580645
nohD,F,580634,580933
aaaD,F,581154,581453
tfaD,F,581460,581759
ybcY,R,582707,583006
tfaX,F,582753,583052
appY,F,583481,583780
ompT,R,585534,585833
envY,R,586809,587108
ybcH,R,587882,588181
nfrA,R,590855,591154
nfrB,R,593079,593378
cusS,R,594671,594970
cusR,R,595344,595643
cusC,F,595400,595699
cusF,F,596931,597230
cusB,F,597279,597578
cusA,F,598514,598813
pheP,F,601759,602058
ybdG,R,604564,604863
nfsB,R,605325,605624
ybdF,R,605787,606086
ybdJ,R,606100,606399
ybdK,R,607284,607583
hokE,F,607636,607935
insL1,F,607865,608164
entD,R,609980,610279
fepA,R,612395,612694
fes,F,612537,612836
ybdZ,F,613742,614041
entF,F,613957,614256
fepE,F,618054,618353
fepC,R,620100,620399
fepG,R,621089,621388
fepD,R,622090,622389
entS,F,622100,622399
fepB,R,624411,624710
entC,F,624685,624984
entE,F,625870,626169
entB,F,627494,627793
entA,F,628351,628650
entH,F,629100,629399
cstA,F,629694,629993
ybdD,F,631982,632281
ybdH,R,633378,633677
ybdL,F,633386,633685
ybdM,R,635277,635576
ybdN,R,636470,636769
ybdO,R,637519,637818
dsbG,R,638474,638773
ahpC,F,638745,639044
ahpF,F,639553,639852
uspG,R,641768,642067
ybdR,F,641888,642187
rnk,R,643868,644167
rna,R,644904,645203
citT,R,646481,646780
citG,R,647410,647709
citX,R,647936,648235
citF,R,649472,649771
citE,R,650391,650690
citD,R,650684,650983
citC,R,651757,652056
citA,F,652035,652334
citB,F,653662,653961
dcuC,R,655869,656168
pagP,F,656357,656656
cspE,F,657092,657391
flc,R,657839,658138
ybeM,F,657831,658130
tatE,F,658747,659046
lipA,R,660117,660416
ybeF,R,661279,661578
lipB,R,662179,662478
ybeD,R,662543,662842
dacA,R,663864,664163
rlpA,R,665091,665390
mrdB,R,666214,666513
mrdA,R,668118,668417
rlmH,R,668616,668915
rsfS,R,668937,669236
cobC,R,669808,670107
nadD,R,670473,670772
holA,R,671506,671805
lptE,R,672087,672386
leuS,R,674684,674983
ybeL,F,674818,675117
ybeQ,R,676448,676747
ybeR,F,676511,676810
djlB,F,677215,677514
ybeT,R,679307,679606
ybeU,F,679308,679607
djlC,F,680012,680311
hscC,R,683294,683593
rihA,R,684313,684612
gltL,R,685156,685455
gltK,R,685830,686129
gltJ,R,686570,686869
gltI,R,687648,687947
insH1,R,688914,689213
lnt,R,690782,691081
ybeX,R,691685,691984
ybeY,R,692242,692541
ybeZ,R,693279,693578
miaB,R,694856,695155
ubiF,F,694901,695200
asnB,R,699078,699377
umpH,R,700227,700526
nagC,R,701495,701794
nagA,R,702652,702951
nagB,R,703512,703811
nagE,F,703744,704043
glnS,F,705893,706192
chiP,F,708134,708433
chiQ,F,709590,709889
fur,R,710547,710846
uof,R,710626,710925
fldA,R,711366,711665
ybfE,R,711799,712098
ybfF,R,712703,713002
seqA,F,712787,713086
pgm,F,713358,713657
ybfP,F,715212,715511
ybfG,R,716498,716797
ybfI,R,716771,717070
potE,R,718166,718465
speF,R,720361,720660
ybfK,F,720383,720682
kdpE,R,721634,721933
kdpD,R,724315,724614
kdpC,R,724880,725179
kdpB,R,726937,727236
kdpA,R,728633,728932
kdpF,R,728722,729021
ybfA,F,728934,729233
rhsC,F,729383,729682
ybfB,F,733576,733875
rhsO,F,733933,734232
ybfC,F,735450,735749
ybfQ,F,736245,736544
ybfL,F,736625,736924
ybfD,F,737892,738191
ybgA,F,738801,739100
phr,F,739307,739606
dtpD,R,742457,742756
ybgI,F,742627,742926
ybgJ,F,743393,743692
ybgK,F,744043,744342
ybgL,F,744965,745264
nei,F,745735,746034
abrB,R,747670,747969
ybgO,R,748883,749182
ybgP,R,749608,749907
ybgQ,R,752070,752369
ybgD,R,752696,752995
gltA,R,754369,754668
sdhC,F,754977,755276
sdhD,F,755360,755659
sdhA,F,755707,756006
sdhB,F,757489,757788
sucA,F,758506,758805
sucB,F,761322,761621
sucC,F,762814,763113
sucD,F,763980,764279
mngR,R,765776,766075
mngA,F,765784,766083
mngB,F,767778,768077
cydA,F,771258,771557
cydB,F,772842,773141
cydX,F,773996,774295
ybgE,F,774109,774408
ybgC,F,774552,774851
tolQ,F,774953,775252
tolR,F,775649,775948
tolA,F,776142,776441
tolB,F,777540,777839
pal,F,778867,779166
ybgF,F,779398,779697
nadA,F,781885,782184
pnuC,F,782966,783265
zitB,R,784724,785023
ybgS,R,785218,785517
aroG,F,785433,785732
gpmA,R,787496,787795
galM,R,788738,789037
galK,R,789880,790179
galT,R,790930,791229
galE,R,791956,792255
modF,R,793689,793988
modE,R,794545,794844
acrZ,F,794573,794872
modA,F,794889,795188
modB,F,795662,795961
modC,F,796354,796653
ybhA,R,798332,798631
pgl,F,798386,798685
ybhD,R,800476,800775
ybhH,F,800559,800858
ybhI,F,801687,801986
ybhJ,F,803303,803602
ybhC,R,807182,807481
ybhB,R,807810,808109
bioA,R,809158,809457
bioB,F,809144,809443
bioF,F,810181,810480
bioC,F,811322,811621
bioD,F,812070,812369
uvrB,F,813326,813625
ybhK,R,816548,816847
moaA,F,816844,817143
moaB,F,817855,818154
moaC,F,818370,818669
moaD,F,818848,819147
moaE,F,819095,819394
ybhL,F,819684,819983
ybhM,F,820593,820892
ybhN,R,822399,822698
clsB,R,823640,823939
ybhP,R,824398,824697
ybhQ,F,824430,824729
ybhR,R,826009,826308
ybhS,R,827153,827452
ybhF,R,828882,829181
ybhG,R,829873,830172
ybiH,R,830544,830843
rhlE,F,830672,830971
ybiA,R,832851,833150
dinG,F,832870,833169
ybiB,F,835048,835347
ybiC,F,836151,836450
ybiJ,R,837826,838125
ybiI,R,838357,838656
ybiX,R,839108,839407
fiu,R,841432,841731
mcbA,R,841957,842256
rlmF,F,842132,842431
ybiO,R,845381,845680
glnQ,R,846364,846663
glnP,R,847020,847319
glnH,R,847905,848204
dps,R,848812,849111
rhtA,R,849998,850297
ompX,F,850250,850549
opgE,R,852498,852797
mntS,R,852898,853197
mntR,F,852983,853282
ybiR,F,853447,853746
ldtB,R,855645,855944
ybiT,F,855763,856062
ybiU,R,858962,859261
ybiV,R,859929,860228
ybiW,R,862507,862806
ybiY,R,863412,863711
fsaA,F,863442,863741
moeB,R,865030,865329
moeA,R,866265,866564
iaaA,F,866368,866667
gsiA,F,867320,867619
gsiB,F,869211,869510
gsiC,F,870767,871066
gsiD,F,871690,871989
yliE,F,872779,873078
yliF,F,875135,875434
rimO,R,877936,878235
bssR,F,878048,878347
yliI,F,878542,878841
gstB,R,880381,880680
dacC,F,880527,880826
deoR,R,882635,882934
ybjG,R,883289,883588
mdfA,F,883473,883772
ybjH,R,885131,885430
ybjI,R,886032,886331
ybjJ,R,887240,887539
rcdA,F,887223,887522
ybjL,R,889720,890019
ybjM,F,889889,890188
grxA,R,890654,890953
ybjC,F,890713,891012
nfsA,F,890984,891283
rimK,F,891767,892066
ybjN,F,892757,893056
potF,F,893584,893883
potG,F,894791,895090
potH,F,895934,896233
potI,F,896884,897183
ybjO,F,897789,898088
rlmC,F,898318,898617
artJ,R,900476,900775
artM,R,901435,901734
artQ,R,902151,902450
artI,R,902889,903188
artP,R,903635,903934
ybjP,R,904368,904667
ybjQ,F,904393,904692
amiD,F,904713,905012
ybjS,R,906654,906953
ybjT,R,908183,908482
ltaE,R,909195,909494
poxB,R,910950,911249
hcr,R,912051,912350
hcp,R,913715,914014
ybjE,R,914758,915057
aqpZ,R,915948,916247
ybjD,F,916273,916572
ybjX,R,919021,919320
macA,F,919035,919334
macB,F,920147,920446
cspD,R,922491,922790
clpS,F,922713,923012
clpA,F,923064,923363
infA,R,926344,926643
aat,R,927333,927632
cydC,R,929096,929395
cydD,R,930863,931162
trxB,R,931951,932250
lrp,F,932395,932694
ftsK,F,933024,933323
lolA,F,937172,937471
rarA,F,937794,938093
serS,F,939228,939527
dmsA,F,940759,941058
dmsB,F,943214,943513
dmsC,F,943833,944132
ycaC,R,945458,945757
ycaD,F,945671,945970
ycaM,F,947029,947328
ycaN,R,949469,949768
ycaK,F,949468,949767
pflA,R,950981,951280
pflB,R,953455,953754
focA,R,954367,954666
ycaO,R,956533,956832
ycaP,F,956562,956861
serC,F,957453,957752
aroA,F,958612,958911
ycaL,F,960064,960363
cmk,F,961001,961300
rpsA,F,961795,962094
ihfB,F,963628,963927
ycaI,F,964120,964419
msbA,F,966421,966720
lpxK,F,968166,968465
ycaQ,F,969189,969488
ycaR,F,970473,970772
kdsB,F,970652,970951
ycbJ,F,971552,971851
elyC,R,973302,973601
smtA,F,973337,973636
mukF,F,974119,974418
mukE,F,975422,975721
mukB,F,976126,976425
ldtD,F,980847,981146
ycbK,F,982875,983174
ycbL,F,983450,983749
aspC,R,985610,985909
ompF,R,986883,987182
asnS,R,988886,989185
pncB,R,990257,990556
pepN,F,990422,990721
ssuB,R,993945,994244
ssuC,R,994733,995032
ssuD,R,995889,996188
ssuA,R,996845,997144
ssuE,R,997413,997712
elfA,F,997668,997967
elfD,F,998290,998589
elfC,F,999016,999315
elfG,F,1001607,1001906
ycbU,F,1002689,1002988
ycbV,F,1003239,1003538
ycbF,F,1003747,1004046
pyrD,F,1004568,1004867
zapC,F,1005752,1006051
ycbX,R,1007501,1007800
rlmL,F,1007644,1007943
uup,F,1009764,1010063
pqiA,F,1011801,1012100
pqiB,F,1013059,1013358
pqiC,F,1014696,1014995
rmf,F,1015515,1015814
fabA,R,1016371,1016670
ycbZ,R,1018200,1018499
matP,F,1018285,1018584
ompA,R,1019954,1020253
sulA,R,1020820,1021119
sxy,F,1020938,1021237
yccS,R,1023784,1024083
yccF,R,1024249,1024548
helD,F,1024271,1024570
mgsA,R,1026916,1027215
yccT,R,1027674,1027973
yccU,F,1027746,1028045
hspQ,R,1028622,1028921
rlmI,R,1029870,1030169
yccX,F,1029864,1030163
tusE,R,1030569,1030868
yccA,R,1031319,1031618
hyaA,F,1031939,1032238
hyaB,F,1033054,1033353
hyaC,F,1034866,1035165
hyaD,F,1035570,1035869
hyaE,F,1036154,1036453
hyaF,F,1036549,1036848
cbdA,F,1037540,1037839
cbdB,F,1039096,1039395
cbdX,F,1040245,1040544
appA,F,1040417,1040716
etk,R,1044111,1044410
etp,R,1044577,1044876
gfcE,R,1045704,1046003
gfcD,R,1047846,1048145
gfcC,R,1048592,1048891
gfcB,R,1049233,1049532
gfcA,R,1049645,1049944
b4516,F,1049633,1049932
insB1,R,1050431,1050730
cspH,R,1051076,1051375
cspG,F,1051261,1051560
ymcE,F,1051647,1051946
gnsA,F,1051867,1052166
yccM,R,1053263,1053562
torS,R,1056079,1056378
torT,F,1056061,1056360
torR,R,1057855,1058154
torC,F,1057884,1058183
torA,F,1059056,1059355
torD,F,1061599,1061898
cbpM,R,1062756,1063055
cbpA,R,1063676,1063975
yccE,F,1063836,1064135
agp,F,1065385,1065684
yccJ,R,1066992,1067291
wrbA,R,1067609,1067908
ymdF,F,1067881,1068180
rutG,R,1069740,1070039
rutF,R,1070255,1070554
rutE,R,1070856,1071155
rutD,R,1071666,1071965
rutC,R,1072060,1072359
rutB,R,1072764,1073063
rutA,R,1073912,1074211
rutR,F,1074042,1074341
putA,R,1078783,1079082
putP,F,1079105,1079404
efeU,F,1081156,1081455
efeO,F,1082043,1082342
efeB,F,1083176,1083475
phoH,F,1084792,1085091
pgaD,R,1086420,1086719
pgaC,R,1087747,1088046
pgaB,R,1089758,1090057
pgaA,R,1092190,1092489
ycdT,F,1092676,1092975
insF1,F,1094075,1094374
insE1,F,1094938,1095237
ymdE,F,1095305,1095604
ycdU,F,1095643,1095942
ghrA,F,1097686,1097985
ycdX,F,1098679,1098978
ycdY,F,1099440,1099739
ycdZ,F,1100096,1100395
csgG,R,1101585,1101884
csgF,R,1102028,1102327
csgE,R,1102442,1102741
csgD,R,1103097,1103396
csgB,F,1103751,1104050
csgA,F,1104247,1104546
csgC,F,1104761,1105060
ymdA,F,1105214,1105513
ymdB,F,1105620,1105919
clsC,F,1106155,1106454
opgC,R,1108842,1109141
opgG,F,1109135,1109434
opgH,F,1110663,1110962
yceK,F,1113379,1113678
msyB,R,1114082,1114381
mdtG,R,1115391,1115690
lpxL,R,1116483,1116782
yceA,F,1116607,1116906
yceI,R,1118377,1118676
yceJ,R,1118947,1119246
yceO,R,1119348,1119647
solA,R,1120487,1120786
bssS,R,1120856,1121155
dinI,R,1121388,1121687
pyrC,R,1122508,1122807
yceB,R,1123174,1123473
grxB,R,1123955,1124254
mdtH,R,1125227,1125526
rimJ,F,1125362,1125661
yceH,F,1125957,1126256
yceM,F,1126606,1126905
murJ,F,1127639,1127938
flgN,R,1129731,1130030
flgM,R,1130029,1130328
flgA,R,1130764,1131063
flgB,F,1130818,1131117
flgC,F,1131238,1131537
flgD,F,1131654,1131953
flgE,F,1132374,1132673
flgF,F,1133602,1133901
flgG,F,1134529,1134828
flgH,F,1135364,1135663
flgI,F,1136074,1136373
flgJ,F,1137171,1137470
flgK,F,1138178,1138477
flgL,F,1139833,1140132
rne,R,1144268,1144567
yceQ,F,1144302,1144601
rluC,F,1144740,1145039
yceF,R,1146496,1146795
yceD,F,1146594,1146893
rpmF,F,1147167,1147466
plsX,F,1147421,1147720
fabH,F,1148559,1148858
fabD,F,1149528,1149827
fabG,F,1150470,1150769
acpP,F,1151415,1151714
fabF,F,1151739,1152038
pabC,F,1153100,1153399
yceG,F,1153912,1154211
tmk,F,1154924,1155223
holB,F,1155562,1155861
ycfH,F,1156577,1156876
ptsG,F,1157669,1157968
fhuE,R,1161452,1161751
hinT,F,1161685,1161984
ycfL,F,1162047,1162346
lpoB,F,1162438,1162737
thiK,F,1163060,1163359
nagZ,F,1163895,1164194
ycfP,F,1164943,1165242
ndh,F,1165885,1166184
ycfJ,F,1167399,1167698
ycfQ,R,1168733,1169032
bhsA,F,1168873,1169172
ldtC,R,1170275,1170574
mfd,R,1173865,1174164
ycfT,R,1175066,1175365
lolC,F,1175227,1175526
lolD,F,1176419,1176718
lolE,F,1177120,1177419
nagK,F,1178393,1178692
cobB,F,1179431,1179730
ycfZ,R,1181168,1181467
ymfA,R,1181626,1181925
potD,R,1182730,1183029
potC,R,1183521,1183820
potB,R,1184345,1184644
potA,R,1185495,1185794
pepT,F,1185644,1185943
roxA,R,1188141,1188440
phoQ,R,1189677,1189976
phoP,R,1190348,1190647
purB,R,1191887,1192186
hflD,R,1192532,1192831
