sRNA,sRNA_Peak,L_Coord,R_Coord,LastSNR,Sequence
sibA,sibA_2,2153205,2153325,SNR__0.50,
sibA,sibA_3,2153445,2153480,SNR__3.50,
sibB,sibB_1,2153445,2153505,SNR__3.50,
sibB,sibB_2,2153565,2153625,SNR__3.00,
cyaR,cyaR_1,2166875,2166935,SNR__0.50,
cyaR,cyaR_2,2166980,2167040,SNR__0.25,
cyaR,cyaR_3,2167195,2167230,SNR__1.00,
micF,micF_1,2312970,2313030,SNR__6.00,
micF,micF_2,2313190,2313205,SNR__3.00,
ryeG,ryeG_1,2470670,2470730,SNR__6.00,
ryeG,ryeG_2,2470805,2470865,SNR__1.50,
tpke70,tpke70_1,2496425,2496485,SNR__0.50,
tpke70,tpke70_2,2496610,2496670,SNR__2.00,
sroE,sroE_1,2640595,2640610,SNR__6.00,
sroE,sroE_2,2640765,2640825,SNR__0.50,
sroE,sroE_3,2640880,2640885,SNR__0.50,
sroE_long,sroE_long_1,2640595,2640610,SNR__6.00,
sroE_long,sroE_long_2,2640765,2640825,SNR__0.50,
sroE_long,sroE_long_3,2640880,2640940,SNR__0.50,
sroE_long,sroE_long_4,2641025,2641085,SNR__0.50,
sroE_long,sroE_long_5,2641165,2641225,SNR__0.25,
sroE_long,sroE_long_6,2641370,2641430,SNR__0.25,
sroE_long,sroE_long_7,2641450,2641510,SNR__0.50,
sroE_long,sroE_long_8,2641645,2641705,SNR__3.50,
sroE_long,sroE_long_9,2641750,2641810,SNR__2.00,
sroE_long,sroE_long_10,2641975,2642035,SNR__0.50,
ryfA,ryfA_1,2653810,2653870,SNR__2.00,
ryfA,ryfA_2,2654005,2654065,SNR__3.00,
ryfA,ryfA_3,2654120,2654180,SNR__3.00,
glmY,glmY_1,2691315,2691375,SNR__2.50,
glmY,glmY_2,2691455,2691515,SNR__2.00,
ryfB,ryfB_1,2700105,2700165,SNR__4.50,
ryfB,ryfB_2,2700370,2700430,SNR__3.00,
ohsC,ohsC_1,2700370,2700430,SNR__3.00,
ohsC,ohsC_2,2700585,2700625,SNR__2.00,
ryfD,ryfD_1,2734275,2734335,SNR__0.50,
ryfD,ryfD_2,2734440,2734495,SNR__1.00,
ssrA_long,ssrA_long_1,2755435,2755495,SNR__3.00,
ssrA_long,ssrA_long_2,2755615,2755675,SNR__1.00,
ssrA_long,ssrA_long_3,2755915,2755975,SNR__40.00,
ssrA,ssrA_1,2755435,2755495,SNR__3.00,
ssrA,ssrA_2,2755615,2755675,SNR__1.00,
ssrA,ssrA_3,2755915,2755975,SNR__40.00,
micA,micA_1,2814640,2814700,SNR__0.50,
micA,micA_2,2814750,2814810,SNR__0.50,
micA,micA_3,2814885,2814905,SNR__0.00,
sokX,sokX_1,2887105,2887165,SNR__4.00,
sokX,sokX_2,2887225,2887285,SNR__3.00,
sokX,sokX_3,2887410,2887435,SNR__1.50,
csrB,csrB_1,2924160,2924180,SNR__0.25,
csrB,csrB_2,2924355,2924415,SNR__0.25,
csrB,csrB_3,2924535,2924595,SNR__1.50,
csrB,csrB_4,2924690,2924720,SNR__3.50,
gcvB,gcvB_1,2942575,2942635,SNR__4.50,
gcvB,gcvB_2,2942825,2942885,SNR__0.50,
omrA,omrA_1,2976240,2976300,SNR__0.50,
omrB,omrB_1,2976450,2976510,SNR__1.00,
omrB,omrB_2,2976570,2976585,SNR__1.50,
ssrS_long,ssrS_long_1,3055830,3055890,SNR__0.00,
ssrS_long,ssrS_long_2,3055980,3056040,SNR__0.25,
ssrS_long,ssrS_long_3,3056180,3056195,SNR__0.25,
ssrS,ssrS_1,3055830,3055890,SNR__0.00,
ssrS,ssrS_2,3055980,3056040,SNR__0.25,
ssrS,ssrS_3,3056180,3056195,SNR__0.25,
sibC,sibC_1,3056775,3056835,SNR__4.50,
sibC,sibC_2,3056945,3057005,SNR__0.50,
och5,och5_1,3066965,3067025,SNR__4.50,
och5,och5_2,3067110,3067170,SNR__5.50,
och5,och5_3,3067285,3067345,SNR__0.00,
sroG,sroG_1,3184740,3184800,SNR__1.00,
sroG,sroG_2,3184875,3184915,SNR__1.00,
sibD,sibD_1,3194840,3194900,SNR__1.00,
sibD,sibD_2,3194975,3195035,SNR__0.50,
sibE,sibE_1,3195260,3195320,SNR__3.00,
sibE,sibE_2,3195420,3195440,SNR__0.50,
psrN,psrN_1,3238110,3238170,SNR__0.50,
psrN,psrN_2,3238310,3238370,SNR__2.50,
rnpB,rnpB_1,3270220,3270230,SNR__2.00,
rnpB,rnpB_2,3270405,3270465,SNR__1.50,
rnpB,rnpB_3,3270605,3270665,SNR__1.00,
rnpB,rnpB_4,3270725,3270785,SNR__0.50,
psrO,psrO_1,3310990,3311050,SNR__0.50,
psrO,psrO_2,3311155,3311215,SNR__0.25,
psrO,psrO_3,3311270,3311330,SNR__0.25,
arcZ,arcZ_1,3350605,3350665,SNR__0.25,
ryhB,ryhB_1,3580975,3581035,SNR__0.25,
ryhB,ryhB_2,3581085,3581145,SNR__2.00,
agrA,agrA_1,3647975,3648035,SNR__1.00,
agrA,agrA_2,3648175,3648175,SNR__1.00,
agrB,agrB_1,3648175,3648235,SNR__1.00,
arrS,arrS_1,3658175,3658235,SNR__4.00,
gadF_long,gadF_long_1,3658175,3658235,SNR__4.00,
gadF_long,gadF_long_2,3658295,3658355,SNR__2.00,
gadF_long,gadF_long_3,3658480,3658540,SNR__6.00,
gadF_long,gadF_long_4,3658665,3658725,SNR__2.00,
gadF_long,gadF_long_5,3658955,3659015,SNR__1.50,
gadF,gadF_1,3658955,3659015,SNR__1.50,
gadY,gadY_1,3664735,3664795,SNR__0.50,
gadY,gadY_2,3664855,3664915,SNR__0.25,
gadY,gadY_3,3664965,3664995,SNR__1.00,
rdlD,rdlD_1,3700050,3700110,SNR__1.00,
rdlD,rdlD_2,3700190,3700230,SNR__0.00,
rirA,rirA_1,3808280,3808340,SNR__6.00,
istR,istR_1,3853170,3853230,SNR__1.50,
istR,istR_2,3853330,3853390,SNR__2.00,
glmZ,glmZ_1,3986210,3986270,SNR__8.00,
glmZ,glmZ_2,3986355,3986415,SNR__1.50,
glmZ,glmZ_3,3986550,3986610,SNR__0.50,
esrE,esrE_1,4019815,4019875,SNR__0.50,
esrE,esrE_2,4019985,4020045,SNR__0.50,
esrE,esrE_3,4020070,4020130,SNR__0.50,
spf,spf_1,4049740,4049800,SNR__0.25,
spf,spf_2,4049850,4049910,SNR__1.00,
csrC,csrC_1,4050955,4051015,SNR__6.00,
csrC,csrC_2,4051065,4051125,SNR__1.00,
csrC,csrC_3,4051220,4051280,SNR__0.00,
cpxQ_long,cpxQ_long_1,4105715,4105775,SNR__1.00,
cpxQ_long,cpxQ_long_2,4105905,4105965,SNR__0.25,
cpxQ_long,cpxQ_long_3,4106005,4106065,SNR__0.25,
cpxQ_long,cpxQ_long_4,4106145,4106205,SNR__0.25,
cpxQ_long,cpxQ_long_5,4106415,4106415,SNR__3.50,
cpxQ,cpxQ_1,4106145,4106205,SNR__0.25,
cpxQ,cpxQ_2,4106415,4106415,SNR__3.50,
oxyS,oxyS_1,4158315,4158375,SNR__0.25,
oxyS,oxyS_2,4158465,4158525,SNR__0.50,
sroH,sroH_1,4190330,4190330,SNR__7.00,
sroH,sroH_2,4190455,4190515,SNR__1.50,
sroH,sroH_3,4190635,4190685,SNR__7.00,
pspH_long,pspH_long_1,4262745,4262805,SNR__6.00,
pspH_long,pspH_long_2,4262905,4262965,SNR__0.50,
pspH_long,pspH_long_3,4263020,4263080,SNR__12.00,
pspH,pspH_1,4262905,4262965,SNR__0.50,
pspH,pspH_2,4263020,4263080,SNR__12.00,
ryjA,ryjA_1,4278020,4278080,SNR__0.50,
ryjA,ryjA_2,4278190,4278250,SNR__0.50,
ryjB,ryjB_1,4527835,4527895,SNR__0.50,
ryjB,ryjB_2,4527955,4528015,SNR__0.50,
ryjB,ryjB_3,4528095,4528095,SNR__0.50,
symR,symR_1,4579630,4579690,SNR__0.25,
symR,symR_2,4579825,4579885,SNR__3.50,
