sRNA,sRNA_Peak,L_Coord,R_Coord,LastSNR,Sequence
sroC_long,sroC_long_4,687390,687450,SNR__0.50,
sroC_long,sroC_long_5,687520,687580,SNR__0.25,
sroC_long,sroC_long_6,687645,687790,SNR__0.50,
sroC_long,sroC_long_7,687920,687980,SNR__4.00,
rybA,rybA_1,852740,852800,SNR__0.50,
rybA,rybA_2,852895,852955,SNR__0.50,
rybA,rybA_3,853050,853110,SNR__6.00,
rybB,rybB_1,887920,887980,SNR__0.50,
rybB,rybB_2,888220,888280,SNR__1.00,
psrD,psrD_1,1146380,1146440,SNR__1.00,
psrD,psrD_2,1146575,1146635,SNR__1.50,
psrD,psrD_3,1146710,1146770,SNR__0.00,
rdlA,rdlA_1,1269155,1269215,SNR__20.00,
rdlA,rdlA_2,1269380,1269490,SNR__0.50,
rdlB,rdlB_1,1269625,1269685,SNR__15.00,
rdlB,rdlB_2,1269805,1269865,SNR__4.00,
rdlB,rdlB_3,1269925,1269985,SNR__2.00,
rdlC,rdlC_1,1270160,1270220,SNR__3.00,
rdlC,rdlC_2,1270315,1270375,SNR__20.00,
rttR,rttR_1,1287085,1287145,SNR__1.00,
rttR,rttR_2,1287270,1287330,SNR__1.00,
rttR,rttR_3,1287435,1287495,SNR__0.00,
mcaS,mcaS_1,1405635,1405695,SNR__3.00,
mcaS,mcaS_2,1405825,1405885,SNR__3.00,
fnrS,fnrS_1,1409005,1409065,SNR__25.00,
fnrS,fnrS_2,1409255,1409315,SNR__1.50,
ralA,ralA_1,1413490,1413550,SNR__3.00,
ralA,ralA_2,1413740,1413800,SNR__2.50,
micC,micC_1,1437050,1437110,SNR__5.50,
rydC,rydC_1,1491505,1491565,SNR__1.50,
rydC,rydC_2,1491630,1491690,SNR__5.00,
sokB,sokB_1,1492030,1492090,SNR__0.25,
sokB,sokB_2,1492185,1492245,SNR__0.25,
mgrR,mgrR_1,1622770,1622830,SNR__0.00,
mgrR,mgrR_2,1622930,1622990,SNR__1.00,
mgrR,mgrR_3,1623100,1623160,SNR__0.50,
dicF,dicF_1,1649220,1649280,SNR__0.25,
dicF,dicF_2,1649360,1649420,SNR__0.25,
rydB,rydB_1,1764805,1764865,SNR__1.00,
rydB,rydB_2,1764960,1765020,SNR__0.25,
rprA,rprA_1,1770370,1770430,SNR__4.00,
sroD,sroD_1,1888080,1888140,SNR__1.00,
sroD,sroD_2,1888215,1888275,SNR__0.50,
sroD_long,sroD_long_1,1888080,1888140,SNR__1.00,
sroD_long,sroD_long_2,1888215,1888275,SNR__0.50,
sroD_long,sroD_long_3,1888375,1888435,SNR__1.00,
sroD_long,sroD_long_4,1888460,1888520,SNR__1.00,
sroD_long,sroD_long_5,1888595,1888655,SNR__1.50,
sroD_long,sroD_long_6,1888700,1888760,SNR__0.50,
sroD_long,sroD_long_7,1888885,1888945,SNR__1.00,
sroD_long,sroD_long_8,1889195,1889255,SNR__1.00,
sroD_long,sroD_long_9,1889290,1889350,SNR__0.50,
sroD_long,sroD_long_10,1889405,1889465,SNR__1.50,
sroD_long,sroD_long_11,1889540,1889600,SNR__0.00,
sroD_long,sroD_long_12,1889770,1889830,SNR__1.00,
sroD_long,sroD_long_13,1889920,1889980,SNR__2.50,
ryeA,ryeA_1,1922985,1923045,SNR__1.50,
ryeA,ryeA_2,1923200,1923260,SNR__0.50,
ryeA,ryeA_3,1923320,1923380,SNR__1.00,
sdsR,sdsR_1,1923200,1923260,SNR__0.50,
sdsR,sdsR_2,1923320,1923380,SNR__1.00,
micL,micL_1,1958530,1958590,SNR__0.25,
micL_long,micL_long_1,1958530,1958590,SNR__0.25,
micL_long,micL_long_2,1958845,1958905,SNR__3.50,
isrB,isrB_1,1987775,1987835,SNR__0.50,
isrB,isrB_2,1988020,1988080,SNR__2.00,
3ETSleuz,3ETSleuz_1,1991775,1991835,SNR__5.00,
3ETSleuZ_long,3ETSleuZ_long_1,1991775,1991835,SNR__5.00,
3ETSleuZ_long,3ETSleuZ_long_2,1992030,1992090,SNR__0.00,
3ETSleuZ_long,3ETSleuZ_long_3,1992210,1992270,SNR__1.50,
sdsN_long,sdsN_long_1,1996885,1996945,SNR__15.00,
sdsN,sdsN_1,1996885,1996945,SNR__15.00,
dsrA,dsrA_1,2025340,2025400,SNR__3.50,
rseX,rseX_1,2033415,2033475,SNR__0.00,
rseX,rseX_2,2033595,2033655,SNR__8.00,
isrC,isrC_1,2071305,2071365,SNR__6.00,
isrC,isrC_2,2071515,2071575,SNR__0.50,
sibA,sibA_1,2153115,2153175,SNR__1.50,
sibA,sibA_2,2153250,2153310,SNR__1.00,
sibB,sibB_1,2153560,2153620,SNR__5.50,
sibB,sibB_2,2153690,2153750,SNR__1.00,
cyaR,cyaR_1,2167050,2167110,SNR__3.00,
cyaR,cyaR_2,2167190,2167250,SNR__6.00,
micF,micF_1,2312855,2312915,SNR__2.50,
micF,micF_2,2312995,2313055,SNR__2.50,
ryeG,ryeG_1,2470390,2470450,SNR__10.00,
ryeG,ryeG_2,2470680,2470740,SNR__6.00,
ryeG,ryeG_3,2470825,2470885,SNR__1.00,
tpke70,tpke70_1,2496225,2496285,SNR__0.50,
tpke70,tpke70_2,2496435,2496495,SNR__1.00,
tpke70,tpke70_3,2496625,2496685,SNR__2.50,
sroE,sroE_1,2640655,2640715,SNR__1.00,
sroE,sroE_2,2640805,2640865,SNR__1.00,
sroE_long,sroE_long_1,2640655,2640715,SNR__1.00,
sroE_long,sroE_long_2,2640805,2640865,SNR__1.00,
sroE_long,sroE_long_3,2641005,2641065,SNR__0.50,
sroE_long,sroE_long_4,2641160,2641220,SNR__0.50,
sroE_long,sroE_long_5,2641355,2641415,SNR__1.00,
sroE_long,sroE_long_6,2641450,2641510,SNR__0.50,
sroE_long,sroE_long_7,2641740,2641800,SNR__4.50,
sroE_long,sroE_long_8,2641970,2642030,SNR__1.50,
ryfA,ryfA_1,2653800,2653860,SNR__2.50,
ryfA,ryfA_2,2653870,2653970,SNR__1.00,
ryfA,ryfA_3,2654020,2654080,SNR__1.00,
ryfA,ryfA_4,2654125,2654185,SNR__5.50,
glmY,glmY_1,2691095,2691155,SNR__2.50,
glmY,glmY_2,2691330,2691390,SNR__1.00,
glmY,glmY_3,2691445,2691505,SNR__2.50,
ryfB,ryfB_1,2699995,2700055,SNR__8.00,
ryfB,ryfB_2,2700165,2700225,SNR__1.00,
ryfB,ryfB_3,2700315,2700375,SNR__0.25,
ryfB,ryfB_4,2700455,2700515,SNR__3.00,
ohsC,ohsC_1,2700315,2700375,SNR__0.25,
ohsC,ohsC_2,2700455,2700515,SNR__3.00,
ryfD,ryfD_1,2734290,2734350,SNR__1.00,
ryfD,ryfD_2,2734435,2734495,SNR__1.00,
ssrA_long,ssrA_long_1,2755450,2755510,SNR__0.25,
ssrA_long,ssrA_long_2,2755910,2755970,SNR__50.00,
ssrA,ssrA_1,2755450,2755510,SNR__0.25,
ssrA,ssrA_2,2755910,2755970,SNR__50.00,
micA,micA_1,2814660,2814720,SNR__1.00,
micA,micA_2,2814910,2814970,SNR__0.50,
sokX,sokX_1,2887290,2887350,SNR__4.00,
csrB,csrB_1,2924220,2924280,SNR__0.25,
csrB,csrB_2,2924350,2924410,SNR__0.00,
csrB,csrB_3,2924545,2924605,SNR__0.50,
csrB,csrB_4,2924685,2924745,SNR__1.00,
gcvB,gcvB_1,2942585,2942645,SNR__2.50,
gcvB,gcvB_2,2942815,2942875,SNR__0.25,
omrA,omrA_1,2976150,2976210,SNR__2.00,
omrA,omrA_2,2976345,2976405,SNR__1.50,
omrB,omrB_1,2976345,2976405,SNR__1.50,
omrB,omrB_2,2976560,2976620,SNR__3.50,
ssrS_long,ssrS_long_1,3055835,3055895,SNR__0.00,
ssrS_long,ssrS_long_2,3056095,3056155,SNR__10.00,
ssrS,ssrS_1,3055835,3055895,SNR__0.00,
ssrS,ssrS_2,3056095,3056155,SNR__10.00,
sibC,sibC_1,3056620,3056680,SNR__1.00,
sibC,sibC_2,3056760,3056820,SNR__3.50,
sibC,sibC_3,3056900,3056960,SNR__2.00,
sibC,sibC_4,3057020,3057080,SNR__0.50,
och5,och5_1,3066955,3067015,SNR__1.50,
och5,och5_2,3067110,3067170,SNR__2.50,
och5,och5_3,3067310,3067370,SNR__2.50,
sroG,sroG_1,3184575,3184635,SNR__0.50,
sroG,sroG_2,3184740,3184800,SNR__1.50,
sroG,sroG_3,3184865,3184925,SNR__0.00,
sibD,sibD_1,3194760,3194820,SNR__0.00,
sibD,sibD_2,3194875,3194935,SNR__1.50,
sibD,sibD_3,3194980,3195040,SNR__1.00,
sibE,sibE_1,3195155,3195215,SNR__1.00,
sibE,sibE_2,3195265,3195325,SNR__2.00,
psrN,psrN_1,3238290,3238350,SNR__5.50,
rnpB,rnpB_1,3270220,3270280,SNR__1.50,
rnpB,rnpB_2,3270380,3270440,SNR__1.00,
rnpB,rnpB_3,3270720,3270780,SNR__1.50,
psrO,psrO_1,3311055,3311115,SNR__0.50,
psrO,psrO_2,3311330,3311390,SNR__4.00,
arcZ,arcZ_1,3350495,3350555,SNR__8.00,
arcZ,arcZ_2,3350665,3350725,SNR__1.00,
ryhB,ryhB_1,3581030,3581090,SNR__7.00,
ryhB,ryhB_2,3581215,3581275,SNR__0.50,
agrA,agrA_1,3648005,3648065,SNR__2.50,
agrB,agrB_1,3648240,3648300,SNR__1.00,
arrS,arrS_1,3658055,3658115,SNR__1.50,
arrS,arrS_2,3658190,3658250,SNR__4.00,
gadF_long,gadF_long_1,3658190,3658250,SNR__4.00,
gadF_long,gadF_long_2,3658485,3658545,SNR__5.50,
gadF_long,gadF_long_3,3658695,3658755,SNR__0.50,
gadF_long,gadF_long_4,3658870,3658930,SNR__2.00,
gadF_long,gadF_long_5,3658950,3659010,SNR__0.50,
gadF_long,gadF_long_6,3659065,3659125,SNR__0.25,
gadF,gadF_1,3658870,3658930,SNR__2.00,
gadF,gadF_2,3658950,3659010,SNR__0.50,
gadF,gadF_3,3659065,3659125,SNR__0.25,
gadY,gadY_1,3664765,3664855,SNR__0.50,
gadY,gadY_2,3664975,3665035,SNR__0.00,
rdlD,rdlD_1,3700040,3700100,SNR__1.50,
rdlD,rdlD_2,3700180,3700240,SNR__1.50,
rirA,rirA_1,3808270,3808330,SNR__8.00,
rirA,rirA_2,3808430,3808490,SNR__2.00,
istR,istR_1,3853165,3853225,SNR__1.00,
istR,istR_2,3853360,3853420,SNR__0.00,
glmZ,glmZ_1,3986205,3986265,SNR__5.00,
glmZ,glmZ_2,3986350,3986410,SNR__3.50,
glmZ,glmZ_3,3986675,3986735,SNR__2.00,
esrE,esrE_1,4019770,4019830,SNR__0.25,
esrE,esrE_2,4019985,4020045,SNR__0.50,
esrE,esrE_3,4020125,4020185,SNR__0.25,
spf,spf_1,4049815,4049875,SNR__0.50,
csrC,csrC_1,4050960,4051020,SNR__1.00,
csrC,csrC_2,4051210,4051270,SNR__0.25,
cpxQ_long,cpxQ_long_1,4105725,4105785,SNR__0.25,
cpxQ_long,cpxQ_long_2,4106065,4106125,SNR__1.50,
cpxQ_long,cpxQ_long_3,4106370,4106430,SNR__3.00,
cpxQ,cpxQ_1,4106065,4106125,SNR__1.50,
cpxQ,cpxQ_2,4106370,4106430,SNR__3.00,
oxyS,oxyS_1,4158200,4158260,SNR__3.00,
oxyS,oxyS_2,4158430,4158490,SNR__2.50,
oxyS,oxyS_3,4158545,4158605,SNR__0.50,
sroH,sroH_1,4190255,4190315,SNR__5.00,
sroH,sroH_2,4190500,4190560,SNR__6.00,
sroH,sroH_3,4190635,4190695,SNR__6.00,
pspH_long,pspH_long_1,4262755,4262815,SNR__8.00,
pspH_long,pspH_long_2,4262925,4262985,SNR__1.50,
pspH_long,pspH_long_3,4263045,4263105,SNR__2.50,
pspH_long,pspH_long_4,4263185,4263245,SNR__1.00,
pspH,pspH_1,4262925,4262985,SNR__1.50,
pspH,pspH_2,4263045,4263105,SNR__2.50,
pspH,pspH_3,4263185,4263245,SNR__1.00,
ryjA,ryjA_1,4277965,4278025,SNR__0.25,
ryjA,ryjA_2,4278070,4278130,SNR__2.00,
ryjA,ryjA_3,4278215,4278275,SNR__1.50,
ryjB,ryjB_1,4527730,4527790,SNR__0.50,
ryjB,ryjB_2,4527870,4527930,SNR__1.00,
ryjB,ryjB_3,4528105,4528165,SNR__0.50,
symR,symR_1,4579815,4579875,SNR__1.50,
