sRNA,sRNA_Peak,L_Coord,R_Coord,LastSNR,Sequence
sibD,sibD_1,3194740,3194800,SNR__0.50,
sibD,sibD_2,3194885,3194945,SNR__4.50,
sibE,sibE_1,3195115,3195175,SNR__0.50,
sibE,sibE_2,3195255,3195315,SNR__2.00,
sibE,sibE_3,3195420,3195480,SNR__0.50,
psrN,psrN_1,3238110,3238170,SNR__1.00,
psrN,psrN_2,3238295,3238355,SNR__8.00,
rnpB,rnpB_1,3270145,3270205,SNR__3.50,
rnpB,rnpB_2,3270305,3270365,SNR__1.00,
rnpB,rnpB_3,3270645,3270705,SNR__1.00,
psrO,psrO_1,3311000,3311060,SNR__1.00,
psrO,psrO_2,3311150,3311210,SNR__1.00,
psrO,psrO_3,3311325,3311385,SNR__2.00,
arcZ,arcZ_1,3350490,3350550,SNR__4.00,
arcZ,arcZ_2,3350730,3350790,SNR__1.00,
ryhB,ryhB_1,3581035,3581095,SNR__4.50,
ryhB,ryhB_2,3581210,3581355,SNR__0.50,
agrA,agrA_1,3647985,3648045,SNR__4.50,
agrB,agrB_1,3648240,3648300,SNR__1.50,
arrS,arrS_1,3657990,3658050,SNR__4.50,
gadF_long,gadF_long_1,3658275,3658335,SNR__7.00,
gadF_long,gadF_long_2,3658475,3658535,SNR__8.00,
gadF_long,gadF_long_3,3658670,3658730,SNR__2.50,
gadF_long,gadF_long_4,3658790,3658850,SNR__2.00,
gadF_long,gadF_long_5,3658960,3659020,SNR__0.25,
gadF,gadF_1,3658790,3658850,SNR__2.00,
gadF,gadF_2,3658960,3659020,SNR__0.25,
gadY,gadY_1,3664615,3664675,SNR__1.00,
gadY,gadY_2,3664795,3664855,SNR__0.50,
gadY,gadY_3,3664960,3665020,SNR__1.50,
rdlD,rdlD_1,3699960,3700020,SNR__1.00,
rdlD,rdlD_2,3700065,3700125,SNR__0.50,
rdlD,rdlD_3,3700195,3700255,SNR__0.00,
rirA,rirA_1,3808280,3808340,SNR__10.00,
istR,istR_1,3853165,3853225,SNR__0.50,
istR,istR_2,3853270,3853330,SNR__0.50,
istR,istR_3,3853415,3853475,SNR__0.25,
glmZ,glmZ_1,3986185,3986245,SNR__0.50,
glmZ,glmZ_2,3986345,3986405,SNR__4.00,
glmZ,glmZ_3,3986590,3986650,SNR__0.50,
esrE,esrE_1,4019810,4019870,SNR__0.25,
esrE,esrE_2,4019985,4020045,SNR__0.25,
spf,spf_1,4049815,4049875,SNR__3.00,
csrC,csrC_1,4050780,4050840,SNR__0.25,
csrC,csrC_2,4050955,4051015,SNR__4.50,
csrC,csrC_3,4051120,4051180,SNR__0.00,
csrC,csrC_4,4051225,4051285,SNR__1.00,
cpxQ_long,cpxQ_long_1,4105635,4105775,SNR__0.50,
cpxQ_long,cpxQ_long_2,4105950,4106010,SNR__2.00,
cpxQ_long,cpxQ_long_3,4106045,4106105,SNR__1.00,
cpxQ_long,cpxQ_long_4,4106140,4106200,SNR__0.25,
cpxQ_long,cpxQ_long_5,4106270,4106330,SNR__0.50,
cpxQ_long,cpxQ_long_6,4106380,4106440,SNR__1.50,
cpxQ,cpxQ_1,4106140,4106200,SNR__0.25,
cpxQ,cpxQ_2,4106270,4106330,SNR__0.50,
cpxQ,cpxQ_3,4106380,4106440,SNR__1.50,
oxyS,oxyS_1,4158205,4158265,SNR__0.50,
oxyS,oxyS_2,4158410,4158470,SNR__0.50,
sroH,sroH_1,4190255,4190315,SNR__8.00,
sroH,sroH_2,4190495,4190555,SNR__7.00,
sroH,sroH_3,4190635,4190695,SNR__8.00,
pspH_long,pspH_long_1,4262760,4262820,SNR__6.00,
pspH_long,pspH_long_2,4263020,4263080,SNR__6.00,
pspH_long,pspH_long_3,4263200,4263260,SNR__2.00,
pspH,pspH_1,4263020,4263080,SNR__6.00,
pspH,pspH_2,4263200,4263260,SNR__2.00,
ryjA,ryjA_1,4277920,4277980,SNR__0.50,
ryjA,ryjA_2,4278060,4278120,SNR__1.00,
ryjA,ryjA_3,4278215,4278275,SNR__0.50,
ryjB,ryjB_1,4527810,4527870,SNR__2.50,
ryjB,ryjB_2,4527940,4528000,SNR__0.50,
symR,symR_1,4579600,4579660,SNR__0.25,
symR,symR_2,4579735,4579795,SNR__1.00,
symR,symR_3,4579945,4580005,SNR__3.50,
